Year,Indicator_No,Indicator,Geographic_Cue,Reasoning_Evidence,Model,agreement_rate,kappa_w
2024,26,Spatial density and openness,Global scene,Appearance,Qwen3.6-27B,0.734870317002882,0.660310202973014
2024,27,Overall building--road--vegetation relationship,Global scene,Spatial layout,Qwen3.6-27B,0.829971181556196,0.811839718778632
2024,28,Consistency between the VGI visible scene and the SVI--RSI overall scene,Global scene,Spatial layout,Qwen3.6-27B,0.893371757925072,0.868132627415078
2024,29,"Large building complex, community, or commercial area",Global scene,Landmark cue,Qwen3.6-27B,0.726224783861671,0.576244996834859
2024,30,"Coastline, river, bridge, or regional background",Global scene,Landmark cue,Qwen3.6-27B,0.62536023054755,0.587873327258393
2025,1,Building type and scale,Building and structure,Appearance,InternVL3-8B,0.506666666666667,0.311738118066018
2025,2,Overall building appearance,Building and structure,Appearance,InternVL3-8B,0.52,0.276090890810376
2025,3,Building position relative to nearby roads or open space,Building and structure,Spatial layout,InternVL3-8B,0.506666666666667,0.307075127644055
2025,4,Building position and shape correspondence in SVI--RSI,Building and structure,Spatial layout,InternVL3-8B,0.48,0.294813466787989
2025,5,Recognizable building outline,Building and structure,Landmark cue,InternVL3-8B,0.506666666666667,0.249399519615693
2025,6,Distinctive building appearance or visible name,Building and structure,Landmark cue,InternVL3-8B,0.405405405405405,0.0950890236744276
2025,7,Road type and width,Road and transport,Appearance,InternVL3-8B,0.546666666666667,0.145077720207254
2025,8,Road markings and boundary features,Road and transport,Appearance,InternVL3-8B,0.413333333333333,0.150197628458498
2025,9,Road direction and connectivity,Road and transport,Spatial layout,InternVL3-8B,0.506666666666667,0.282140526430281
2025,10,Road position relative to surrounding elements,Road and transport,Spatial layout,InternVL3-8B,0.56,0.251850262790947
2025,11,"Distinctive intersection, bridge, or road curve",Road and transport,Landmark cue,InternVL3-8B,0.466666666666667,0.217721518987342
2025,12,"Traffic lights, road signs, or road markers",Road and transport,Landmark cue,InternVL3-8B,0.346666666666667,0.205607476635514
2025,13,Vegetation coverage and type,Vegetation and terrain,Appearance,InternVL3-8B,0.506666666666667,0.129287598944591
2025,14,Ground surface characteristics,Vegetation and terrain,Appearance,InternVL3-8B,0.386666666666667,0.217201743955608
2025,15,Vegetation position relative to roads or buildings,Vegetation and terrain,Spatial layout,InternVL3-8B,0.613333333333333,0.366428963247394
2025,16,"Waterbody, shoreline, or open-space position",Vegetation and terrain,Spatial layout,InternVL3-8B,0.36,0.127906976744186
2025,17,"Prominent trees, forest belts, or distinctive vegetation",Vegetation and terrain,Landmark cue,InternVL3-8B,0.453333333333333,0.167200512491992
2025,18,"Coastline, river, lake, or slope outline",Vegetation and terrain,Landmark cue,InternVL3-8B,0.413333333333333,-0.00586047560013525
2025,19,"Utility poles, streetlights, and cables",Objects and facilities,Appearance,InternVL3-8B,0.413333333333333,0.135922330097087
2025,20,"Road signs, fences, and guardrails",Objects and facilities,Appearance,InternVL3-8B,0.413333333333333,0.170450576318547
2025,21,Facility position relative to roads or buildings,Objects and facilities,Spatial layout,InternVL3-8B,0.48,0.238889536918232
2025,22,Local facility grouping and arrangement,Objects and facilities,Spatial layout,InternVL3-8B,0.466666666666667,0.23780487804878
2025,23,"Large facilities such as antennas, water towers, or pylons",Objects and facilities,Landmark cue,InternVL3-8B,0.573333333333333,0.0338983050847457
2025,24,"Recognizable signs such as storefront signs, billboards, or gas-station signs",Objects and facilities,Landmark cue,InternVL3-8B,0.418918918918919,0.0187070802746861
2025,25,Scene functional type,Global scene,Appearance,InternVL3-8B,0.626666666666667,0.31438127090301
2025,26,Spatial density and openness,Global scene,Appearance,InternVL3-8B,0.586666666666667,0.233028720626632
2025,27,Overall building--road--vegetation relationship,Global scene,Spatial layout,InternVL3-8B,0.64,0.408450704225352
2025,28,Consistency between the VGI visible scene and the SVI--RSI overall scene,Global scene,Spatial layout,InternVL3-8B,0.666666666666667,0.422711219777234
2025,29,"Large building complex, community, or commercial area",Global scene,Landmark cue,InternVL3-8B,0.466666666666667,0.129201222173723
2025,30,"Coastline, river, bridge, or regional background",Global scene,Landmark cue,InternVL3-8B,0.48,0.232680502776966
2025,1,Building type and scale,Building and structure,Appearance,Qwen3.6-27B,0.64,0.696132596685083
2025,2,Overall building appearance,Building and structure,Appearance,Qwen3.6-27B,0.8,0.817592217267937
2025,3,Building position relative to nearby roads or open space,Building and structure,Spatial layout,Qwen3.6-27B,0.68,0.722128662849444
2025,4,Building position and shape correspondence in SVI--RSI,Building and structure,Spatial layout,Qwen3.6-27B,0.733333333333333,0.747740172377549
2025,5,Recognizable building outline,Building and structure,Landmark cue,Qwen3.6-27B,0.786666666666667,0.79066985645933
2025,6,Distinctive building appearance or visible name,Building and structure,Landmark cue,Qwen3.6-27B,0.689189189189189,0.659789190401435
2025,7,Road type and width,Road and transport,Appearance,Qwen3.6-27B,0.746666666666667,0.735249621785174
2025,8,Road markings and boundary features,Road and transport,Appearance,Qwen3.6-27B,0.546666666666667,0.65512577765756
2025,9,Road direction and connectivity,Road and transport,Spatial layout,Qwen3.6-27B,0.76,0.826637314254265
2025,10,Road position relative to surrounding elements,Road and transport,Spatial layout,Qwen3.6-27B,0.826666666666667,0.834603047313553
2025,11,"Distinctive intersection, bridge, or road curve",Road and transport,Landmark cue,Qwen3.6-27B,0.68,0.75
2025,12,"Traffic lights, road signs, or road markers",Road and transport,Landmark cue,Qwen3.6-27B,0.506666666666667,0.466019417475728
2025,13,Vegetation coverage and type,Vegetation and terrain,Appearance,Qwen3.6-27B,0.68,0.595715272978576
2025,14,Ground surface characteristics,Vegetation and terrain,Appearance,Qwen3.6-27B,0.533333333333333,0.626572327044025
2025,15,Vegetation position relative to roads or buildings,Vegetation and terrain,Spatial layout,Qwen3.6-27B,0.8,0.785827604442094
2025,16,"Waterbody, shoreline, or open-space position",Vegetation and terrain,Spatial layout,Qwen3.6-27B,0.52,0.584308412366055
2025,17,"Prominent trees, forest belts, or distinctive vegetation",Vegetation and terrain,Landmark cue,Qwen3.6-27B,0.72,0.75759534583064
2025,18,"Coastline, river, lake, or slope outline",Vegetation and terrain,Landmark cue,Qwen3.6-27B,0.546666666666667,0.410846873991176
2025,19,"Utility poles, streetlights, and cables",Objects and facilities,Appearance,Qwen3.6-27B,0.533333333333333,0.468227424749164
2025,20,"Road signs, fences, and guardrails",Objects and facilities,Appearance,Qwen3.6-27B,0.533333333333333,0.455503512880562
2025,21,Facility position relative to roads or buildings,Objects and facilities,Spatial layout,Qwen3.6-27B,0.68,0.699799866577719
2025,22,Local facility grouping and arrangement,Objects and facilities,Spatial layout,Qwen3.6-27B,0.666666666666667,0.727214377406932
2025,23,"Large facilities such as antennas, water towers, or pylons",Objects and facilities,Landmark cue,Qwen3.6-27B,0.546666666666667,0.213740458015267
2025,24,"Recognizable signs such as storefront signs, billboards, or gas-station signs",Objects and facilities,Landmark cue,Qwen3.6-27B,0.513513513513513,0.309671885052541
2025,25,Scene functional type,Global scene,Appearance,Qwen3.6-27B,0.773333333333333,0.708249496981891
2025,26,Spatial density and openness,Global scene,Appearance,Qwen3.6-27B,0.666666666666667,0.608548455353364
2025,27,Overall building--road--vegetation relationship,Global scene,Spatial layout,Qwen3.6-27B,0.84,0.821215733015495
2025,28,Consistency between the VGI visible scene and the SVI--RSI overall scene,Global scene,Spatial layout,Qwen3.6-27B,0.88,0.874184529356943
2025,29,"Large building complex, community, or commercial area",Global scene,Landmark cue,Qwen3.6-27B,0.653333333333333,0.387417218543046
2025,30,"Coastline, river, bridge, or regional background",Global scene,Landmark cue,Qwen3.6-27B,0.653333333333333,0.505108556832695
