Sheet,Lifeline,Indicator_No,Indicator,Geographic_Cue,Reasoning_Evidence,Model,agreement_rate,kappa_w,Lifeline_In_Main8
Safety_Security,Safety and Security,19,"Utility poles, streetlights, and cables",Objects and facilities,Appearance,Qwen3.6-27B,0.657894736842105,0.642509245973202,True
Safety_Security,Safety and Security,20,"Road signs, fences, and guardrails",Objects and facilities,Appearance,Qwen3.6-27B,0.556390977443609,0.495449631449631,True
Safety_Security,Safety and Security,21,Facility position relative to roads or buildings,Objects and facilities,Spatial layout,Qwen3.6-27B,0.75187969924812,0.765852704332801,True
Safety_Security,Safety and Security,22,Local facility grouping and arrangement,Objects and facilities,Spatial layout,Qwen3.6-27B,0.721804511278195,0.7648458883732,True
Safety_Security,Safety and Security,23,"Large facilities such as antennas, water towers, or pylons",Objects and facilities,Landmark cue,Qwen3.6-27B,0.484962406015038,0.175779350162381,True
Safety_Security,Safety and Security,24,"Recognizable signs such as storefront signs, billboards, or gas-station signs",Objects and facilities,Landmark cue,Qwen3.6-27B,0.56015037593985,0.37879821569142,True
Safety_Security,Safety and Security,25,Scene functional type,Global scene,Appearance,Qwen3.6-27B,0.770676691729323,0.740335806325654,True
Safety_Security,Safety and Security,26,Spatial density and openness,Global scene,Appearance,Qwen3.6-27B,0.699248120300752,0.679834725590587,True
Safety_Security,Safety and Security,27,Overall building--road--vegetation relationship,Global scene,Spatial layout,Qwen3.6-27B,0.845864661654135,0.827290984039742,True
Safety_Security,Safety and Security,28,Consistency between the VGI visible scene and the SVI--RSI overall scene,Global scene,Spatial layout,Qwen3.6-27B,0.87593984962406,0.876238866815355,True
Safety_Security,Safety and Security,29,"Large building complex, community, or commercial area",Global scene,Landmark cue,Qwen3.6-27B,0.740601503759398,0.646472477572267,True
Safety_Security,Safety and Security,30,"Coastline, river, bridge, or regional background",Global scene,Landmark cue,Qwen3.6-27B,0.518796992481203,0.4014149869534,True
Transportation,Transportation,1,Building type and scale,Building and structure,Appearance,InternVL3-8B,0.570873786407767,0.238813086340116,True
Transportation,Transportation,2,Overall building appearance,Building and structure,Appearance,InternVL3-8B,0.497087378640777,0.221910530422272,True
Transportation,Transportation,3,Building position relative to nearby roads or open space,Building and structure,Spatial layout,InternVL3-8B,0.580582524271845,0.30837457325292,True
Transportation,Transportation,4,Building position and shape correspondence in SVI--RSI,Building and structure,Spatial layout,InternVL3-8B,0.500970873786408,0.277884829326247,True
Transportation,Transportation,5,Recognizable building outline,Building and structure,Landmark cue,InternVL3-8B,0.458252427184466,0.190476970183223,True
Transportation,Transportation,6,Distinctive building appearance or visible name,Building and structure,Landmark cue,InternVL3-8B,0.340466926070039,0.123465211459754,True
Transportation,Transportation,7,Road type and width,Road and transport,Appearance,InternVL3-8B,0.625242718446602,0.244028960419201,True
Transportation,Transportation,8,Road markings and boundary features,Road and transport,Appearance,InternVL3-8B,0.438834951456311,0.185279153381725,True
Transportation,Transportation,9,Road direction and connectivity,Road and transport,Spatial layout,InternVL3-8B,0.579766536964981,0.306678140969546,True
Transportation,Transportation,10,Road position relative to surrounding elements,Road and transport,Spatial layout,InternVL3-8B,0.625242718446602,0.305338372251255,True
Transportation,Transportation,11,"Distinctive intersection, bridge, or road curve",Road and transport,Landmark cue,InternVL3-8B,0.423300970873786,0.228895964202736,True
Transportation,Transportation,12,"Traffic lights, road signs, or road markers",Road and transport,Landmark cue,InternVL3-8B,0.394174757281553,0.240818160557703,True
Transportation,Transportation,13,Vegetation coverage and type,Vegetation and terrain,Appearance,InternVL3-8B,0.601941747572815,0.251489672997038,True
Transportation,Transportation,14,Ground surface characteristics,Vegetation and terrain,Appearance,InternVL3-8B,0.454368932038835,0.294864688078582,True
Transportation,Transportation,15,Vegetation position relative to roads or buildings,Vegetation and terrain,Spatial layout,InternVL3-8B,0.580582524271845,0.255168077134697,True
Transportation,Transportation,16,"Waterbody, shoreline, or open-space position",Vegetation and terrain,Spatial layout,InternVL3-8B,0.413592233009709,0.24493771466653,True
Transportation,Transportation,17,"Prominent trees, forest belts, or distinctive vegetation",Vegetation and terrain,Landmark cue,InternVL3-8B,0.499029126213592,0.170112697413228,True
Transportation,Transportation,18,"Coastline, river, lake, or slope outline",Vegetation and terrain,Landmark cue,InternVL3-8B,0.479611650485437,0.137348672791044,True
Transportation,Transportation,19,"Utility poles, streetlights, and cables",Objects and facilities,Appearance,InternVL3-8B,0.510679611650485,0.215145813734713,True
Transportation,Transportation,20,"Road signs, fences, and guardrails",Objects and facilities,Appearance,InternVL3-8B,0.398058252427184,0.205019423430791,True
Transportation,Transportation,21,Facility position relative to roads or buildings,Objects and facilities,Spatial layout,InternVL3-8B,0.563106796116505,0.337818643941093,True
Transportation,Transportation,22,Local facility grouping and arrangement,Objects and facilities,Spatial layout,InternVL3-8B,0.47378640776699,0.263259055125021,True
Transportation,Transportation,23,"Large facilities such as antennas, water towers, or pylons",Objects and facilities,Landmark cue,InternVL3-8B,0.61747572815534,0.126583992785273,True
Transportation,Transportation,24,"Recognizable signs such as storefront signs, billboards, or gas-station signs",Objects and facilities,Landmark cue,InternVL3-8B,0.463035019455253,0.138974598422089,True
Transportation,Transportation,25,Scene functional type,Global scene,Appearance,InternVL3-8B,0.631067961165049,0.284910023630158,True
Transportation,Transportation,26,Spatial density and openness,Global scene,Appearance,InternVL3-8B,0.584466019417476,0.28371082296365,True
Transportation,Transportation,27,Overall building--road--vegetation relationship,Global scene,Spatial layout,InternVL3-8B,0.638834951456311,0.370367381523998,True
Transportation,Transportation,28,Consistency between the VGI visible scene and the SVI--RSI overall scene,Global scene,Spatial layout,InternVL3-8B,0.70873786407767,0.484955853358859,True
Transportation,Transportation,29,"Large building complex, community, or commercial area",Global scene,Landmark cue,InternVL3-8B,0.543689320388349,0.27616370462153,True
Transportation,Transportation,30,"Coastline, river, bridge, or regional background",Global scene,Landmark cue,InternVL3-8B,0.528155339805825,0.373280195378169,True
Transportation,Transportation,1,Building type and scale,Building and structure,Appearance,Qwen3.6-27B,0.720388349514563,0.738251469751565,True
Transportation,Transportation,2,Overall building appearance,Building and structure,Appearance,Qwen3.6-27B,0.714563106796116,0.741810906277256,True
Transportation,Transportation,3,Building position relative to nearby roads or open space,Building and structure,Spatial layout,Qwen3.6-27B,0.733980582524272,0.753149329647675,True
Transportation,Transportation,4,Building position and shape correspondence in SVI--RSI,Building and structure,Spatial layout,Qwen3.6-27B,0.72621359223301,0.730622973685779,True
Transportation,Transportation,5,Recognizable building outline,Building and structure,Landmark cue,Qwen3.6-27B,0.702912621359223,0.702540092327215,True
Transportation,Transportation,6,Distinctive building appearance or visible name,Building and structure,Landmark cue,Qwen3.6-27B,0.583657587548638,0.569879546472432,True
Transportation,Transportation,7,Road type and width,Road and transport,Appearance,Qwen3.6-27B,0.718446601941748,0.646946212028548,True
Transportation,Transportation,8,Road markings and boundary features,Road and transport,Appearance,Qwen3.6-27B,0.636893203883495,0.660837969796753,True
Transportation,Transportation,9,Road direction and connectivity,Road and transport,Spatial layout,Qwen3.6-27B,0.762645914396887,0.76414439511602,True
Transportation,Transportation,10,Road position relative to surrounding elements,Road and transport,Spatial layout,Qwen3.6-27B,0.801941747572816,0.771143988293489,True
Transportation,Transportation,11,"Distinctive intersection, bridge, or road curve",Road and transport,Landmark cue,Qwen3.6-27B,0.658252427184466,0.714644801206152,True
Transportation,Transportation,12,"Traffic lights, road signs, or road markers",Road and transport,Landmark cue,Qwen3.6-27B,0.555339805825243,0.552254767162479,True
Transportation,Transportation,13,Vegetation coverage and type,Vegetation and terrain,Appearance,Qwen3.6-27B,0.699029126213592,0.658722914765126,True
Transportation,Transportation,14,Ground surface characteristics,Vegetation and terrain,Appearance,Qwen3.6-27B,0.592233009708738,0.623051317069887,True
Transportation,Transportation,15,Vegetation position relative to roads or buildings,Vegetation and terrain,Spatial layout,Qwen3.6-27B,0.747572815533981,0.737887458569708,True
Transportation,Transportation,16,"Waterbody, shoreline, or open-space position",Vegetation and terrain,Spatial layout,Qwen3.6-27B,0.545631067961165,0.590991454089828,True
Transportation,Transportation,17,"Prominent trees, forest belts, or distinctive vegetation",Vegetation and terrain,Landmark cue,Qwen3.6-27B,0.67378640776699,0.68534000477729,True
Transportation,Transportation,18,"Coastline, river, lake, or slope outline",Vegetation and terrain,Landmark cue,Qwen3.6-27B,0.543689320388349,0.383035073389273,True
Transportation,Transportation,19,"Utility poles, streetlights, and cables",Objects and facilities,Appearance,Qwen3.6-27B,0.642718446601942,0.529860512624086,True
Transportation,Transportation,20,"Road signs, fences, and guardrails",Objects and facilities,Appearance,Qwen3.6-27B,0.594174757281553,0.583942394725821,True
Transportation,Transportation,21,Facility position relative to roads or buildings,Objects and facilities,Spatial layout,Qwen3.6-27B,0.70873786407767,0.695317572929944,True
Transportation,Transportation,22,Local facility grouping and arrangement,Objects and facilities,Spatial layout,Qwen3.6-27B,0.667961165048544,0.681098461566688,True
Transportation,Transportation,23,"Large facilities such as antennas, water towers, or pylons",Objects and facilities,Landmark cue,Qwen3.6-27B,0.514563106796116,0.145800540350053,True
Transportation,Transportation,24,"Recognizable signs such as storefront signs, billboards, or gas-station signs",Objects and facilities,Landmark cue,Qwen3.6-27B,0.560311284046693,0.383966087309323,True
Transportation,Transportation,25,Scene functional type,Global scene,Appearance,Qwen3.6-27B,0.749514563106796,0.658760004417346,True
Transportation,Transportation,26,Spatial density and openness,Global scene,Appearance,Qwen3.6-27B,0.761165048543689,0.686414782727164,True
Transportation,Transportation,27,Overall building--road--vegetation relationship,Global scene,Spatial layout,Qwen3.6-27B,0.811650485436893,0.777869714667993,True
Transportation,Transportation,28,Consistency between the VGI visible scene and the SVI--RSI overall scene,Global scene,Spatial layout,Qwen3.6-27B,0.897087378640777,0.854153010117894,True
Transportation,Transportation,29,"Large building complex, community, or commercial area",Global scene,Landmark cue,Qwen3.6-27B,0.706796116504854,0.556237514140612,True
Transportation,Transportation,30,"Coastline, river, bridge, or regional background",Global scene,Landmark cue,Qwen3.6-27B,0.629126213592233,0.568427899600939,True
Water_Systems,Water Systems,1,Building type and scale,Building and structure,Appearance,InternVL3-8B,0.0,0.0,True
Water_Systems,Water Systems,2,Overall building appearance,Building and structure,Appearance,InternVL3-8B,0.0,0.0,True
Water_Systems,Water Systems,3,Building position relative to nearby roads or open space,Building and structure,Spatial layout,InternVL3-8B,0.0,0.0,True
Water_Systems,Water Systems,4,Building position and shape correspondence in SVI--RSI,Building and structure,Spatial layout,InternVL3-8B,0.0,0.0,True
Water_Systems,Water Systems,5,Recognizable building outline,Building and structure,Landmark cue,InternVL3-8B,0.0,0.0,True
Water_Systems,Water Systems,6,Distinctive building appearance or visible name,Building and structure,Landmark cue,InternVL3-8B,0.0,0.0,True
Water_Systems,Water Systems,7,Road type and width,Road and transport,Appearance,InternVL3-8B,0.0,0.0,True
Water_Systems,Water Systems,8,Road markings and boundary features,Road and transport,Appearance,InternVL3-8B,0.0,0.0,True
Water_Systems,Water Systems,9,Road direction and connectivity,Road and transport,Spatial layout,InternVL3-8B,0.0,0.0,True
Water_Systems,Water Systems,10,Road position relative to surrounding elements,Road and transport,Spatial layout,InternVL3-8B,0.0,0.0,True
Water_Systems,Water Systems,11,"Distinctive intersection, bridge, or road curve",Road and transport,Landmark cue,InternVL3-8B,0.0,0.0,True
Water_Systems,Water Systems,12,"Traffic lights, road signs, or road markers",Road and transport,Landmark cue,InternVL3-8B,0.0,0.0,True
Water_Systems,Water Systems,13,Vegetation coverage and type,Vegetation and terrain,Appearance,InternVL3-8B,0.0,0.0,True
Water_Systems,Water Systems,14,Ground surface characteristics,Vegetation and terrain,Appearance,InternVL3-8B,0.0,0.0,True
Water_Systems,Water Systems,15,Vegetation position relative to roads or buildings,Vegetation and terrain,Spatial layout,InternVL3-8B,0.0,0.0,True
Water_Systems,Water Systems,16,"Waterbody, shoreline, or open-space position",Vegetation and terrain,Spatial layout,InternVL3-8B,0.0,0.0,True
Water_Systems,Water Systems,17,"Prominent trees, forest belts, or distinctive vegetation",Vegetation and terrain,Landmark cue,InternVL3-8B,0.0,0.0,True
Water_Systems,Water Systems,18,"Coastline, river, lake, or slope outline",Vegetation and terrain,Landmark cue,InternVL3-8B,0.0,0.0,True
Water_Systems,Water Systems,19,"Utility poles, streetlights, and cables",Objects and facilities,Appearance,InternVL3-8B,1.0,,True
Water_Systems,Water Systems,20,"Road signs, fences, and guardrails",Objects and facilities,Appearance,InternVL3-8B,0.0,0.0,True
Water_Systems,Water Systems,21,Facility position relative to roads or buildings,Objects and facilities,Spatial layout,InternVL3-8B,0.0,0.0,True
Water_Systems,Water Systems,22,Local facility grouping and arrangement,Objects and facilities,Spatial layout,InternVL3-8B,0.0,0.0,True
Water_Systems,Water Systems,23,"Large facilities such as antennas, water towers, or pylons",Objects and facilities,Landmark cue,InternVL3-8B,1.0,,True
Water_Systems,Water Systems,24,"Recognizable signs such as storefront signs, billboards, or gas-station signs",Objects and facilities,Landmark cue,InternVL3-8B,0.0,0.0,True
Water_Systems,Water Systems,25,Scene functional type,Global scene,Appearance,InternVL3-8B,0.0,0.0,True
Water_Systems,Water Systems,26,Spatial density and openness,Global scene,Appearance,InternVL3-8B,0.0,0.0,True
Water_Systems,Water Systems,27,Overall building--road--vegetation relationship,Global scene,Spatial layout,InternVL3-8B,1.0,,True
Water_Systems,Water Systems,28,Consistency between the VGI visible scene and the SVI--RSI overall scene,Global scene,Spatial layout,InternVL3-8B,1.0,,True
Water_Systems,Water Systems,29,"Large building complex, community, or commercial area",Global scene,Landmark cue,InternVL3-8B,1.0,,True
Water_Systems,Water Systems,30,"Coastline, river, bridge, or regional background",Global scene,Landmark cue,InternVL3-8B,1.0,,True
Water_Systems,Water Systems,1,Building type and scale,Building and structure,Appearance,Qwen3.6-27B,0.0,0.0,True
Water_Systems,Water Systems,2,Overall building appearance,Building and structure,Appearance,Qwen3.6-27B,1.0,,True
Water_Systems,Water Systems,3,Building position relative to nearby roads or open space,Building and structure,Spatial layout,Qwen3.6-27B,1.0,,True
Water_Systems,Water Systems,4,Building position and shape correspondence in SVI--RSI,Building and structure,Spatial layout,Qwen3.6-27B,1.0,,True
Water_Systems,Water Systems,5,Recognizable building outline,Building and structure,Landmark cue,Qwen3.6-27B,1.0,,True
Water_Systems,Water Systems,6,Distinctive building appearance or visible name,Building and structure,Landmark cue,Qwen3.6-27B,1.0,,True
Water_Systems,Water Systems,7,Road type and width,Road and transport,Appearance,Qwen3.6-27B,1.0,,True
Water_Systems,Water Systems,8,Road markings and boundary features,Road and transport,Appearance,Qwen3.6-27B,1.0,,True
Water_Systems,Water Systems,9,Road direction and connectivity,Road and transport,Spatial layout,Qwen3.6-27B,1.0,,True
Water_Systems,Water Systems,10,Road position relative to surrounding elements,Road and transport,Spatial layout,Qwen3.6-27B,1.0,,True
Water_Systems,Water Systems,11,"Distinctive intersection, bridge, or road curve",Road and transport,Landmark cue,Qwen3.6-27B,1.0,,True
Water_Systems,Water Systems,12,"Traffic lights, road signs, or road markers",Road and transport,Landmark cue,Qwen3.6-27B,1.0,,True
Water_Systems,Water Systems,13,Vegetation coverage and type,Vegetation and terrain,Appearance,Qwen3.6-27B,0.0,0.0,True
Water_Systems,Water Systems,14,Ground surface characteristics,Vegetation and terrain,Appearance,Qwen3.6-27B,0.0,0.0,True
Water_Systems,Water Systems,15,Vegetation position relative to roads or buildings,Vegetation and terrain,Spatial layout,Qwen3.6-27B,1.0,,True
Water_Systems,Water Systems,16,"Waterbody, shoreline, or open-space position",Vegetation and terrain,Spatial layout,Qwen3.6-27B,0.0,0.0,True
Water_Systems,Water Systems,17,"Prominent trees, forest belts, or distinctive vegetation",Vegetation and terrain,Landmark cue,Qwen3.6-27B,1.0,,True
Water_Systems,Water Systems,18,"Coastline, river, lake, or slope outline",Vegetation and terrain,Landmark cue,Qwen3.6-27B,0.0,0.0,True
Water_Systems,Water Systems,19,"Utility poles, streetlights, and cables",Objects and facilities,Appearance,Qwen3.6-27B,0.0,0.0,True
Water_Systems,Water Systems,20,"Road signs, fences, and guardrails",Objects and facilities,Appearance,Qwen3.6-27B,0.0,0.0,True
Water_Systems,Water Systems,21,Facility position relative to roads or buildings,Objects and facilities,Spatial layout,Qwen3.6-27B,0.0,0.0,True
Water_Systems,Water Systems,22,Local facility grouping and arrangement,Objects and facilities,Spatial layout,Qwen3.6-27B,1.0,,True
Water_Systems,Water Systems,23,"Large facilities such as antennas, water towers, or pylons",Objects and facilities,Landmark cue,Qwen3.6-27B,1.0,,True
Water_Systems,Water Systems,24,"Recognizable signs such as storefront signs, billboards, or gas-station signs",Objects and facilities,Landmark cue,Qwen3.6-27B,1.0,,True
Water_Systems,Water Systems,25,Scene functional type,Global scene,Appearance,Qwen3.6-27B,0.0,0.0,True
Water_Systems,Water Systems,26,Spatial density and openness,Global scene,Appearance,Qwen3.6-27B,1.0,,True
Water_Systems,Water Systems,27,Overall building--road--vegetation relationship,Global scene,Spatial layout,Qwen3.6-27B,1.0,,True
Water_Systems,Water Systems,28,Consistency between the VGI visible scene and the SVI--RSI overall scene,Global scene,Spatial layout,Qwen3.6-27B,1.0,,True
Water_Systems,Water Systems,29,"Large building complex, community, or commercial area",Global scene,Landmark cue,Qwen3.6-27B,1.0,,True
Water_Systems,Water Systems,30,"Coastline, river, bridge, or regional background",Global scene,Landmark cue,Qwen3.6-27B,1.0,,True
